job_title,company_name,company_location,salary,job_type,job_description_html,link
Customer Sales and Service Representative,IMMPLOY Recruitment,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText"">Work for a prestigious airline brand on various work streams 
<br/>
<br/> Assistance to passengers with pre &amp; post flight departure travel-related queries in customer relationsdepartment in Greek &amp; English languagesWork on airline reservations systems &amp; handle outbound voice calls, written correspondence &amp; othermultimedia channels daily. 
<br/>
<br/> Fully paid product and systems training provided. 
<br/>
<br/> Daily interactions with international passengers with queries and compliments 
<br/>
<br/> Required to meet specific key performance indicators and meet expected client service levels. 
<br/>
<br/> Demanding and time-sensitive call centre environment 
<br/>
<br/> Proficiency in Greek language. 
<br/>
<br/> Grade 12. 
<br/>
<br/> Residency in South Africa. 
<br/>
<br/> Reliable high-speed internet (Fibre). 
<br/>
<br/> Uninterruptible Power Supply (UPS). 
<br/>
<br/> Able to work Flexible hours 
<br/>
<br/> SA ID Holder 
<br/>
<br/> Between 0 &amp; 1 Year</div>",https://za.indeed.com/rc/clk?jk=77fdb57cc9cea33e&bb=OOdsvWvtGQPQWW6IbrJbVFBKSByXwCAjt4weH0ipTVDdsBVuf0ddM3HR-9d-Myl4-tVnKbhpgIcL4zc7t9kZtOIqP4HYGcgUIE2ROxHYMq0%3D&xkcb=SoBa67M3FA_Izzyndp0CbzkdCdPP&fccid=ce2d59616aa3065f&vjs=3
Digital Marketer,BBD,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<h2 class=""jobSectionHeader""><b>BBD is looking for a driven digital marketer who will play a key role in developing and executing digital marketing communication strategies.</b></h2>
<div></div>
<h3 class=""jobSectionHeader""><b> The company</b></h3>
<div></div>
<p> BBD is an international software solutions company that solves real-world problems with innovative services and modern technology stacks. Our experience spans the education, financial services, gaming, insurance, telecoms and public sectors. We maintain our track record by using our vast business domain knowledge and world-class skills to successfully deliver digital solutions for clients.</p>
<p> The complex problems we solve are balanced out by our flexible working culture and flat management structure. Being a part of BBD means working on dynamic project teams, while pursuing your own career growth through our Continuous Learning Programme.</p>
<h3 class=""jobSectionHeader""><b> The role</b></h3>
<div></div>
<p> As a Digital Marketer at BBD, you will be a pivotal member of our Marketing team, developing, executing and optimising digital marketing strategies across various channels to help drive continued business growth. Your role will involve strategic planning, campaign management, leveraging your expertise to drive brand visibility, engagement and lead generation.</p>
<div></div>
<h3 class=""jobSectionHeader""><b> Key responsibilities</b></h3>
<div></div>
<h4 class=""jobSectionHeader""><b> Campaign management:</b></h4>
<div></div>
<ul>
<li> Develop comprehensive briefs and strategies for digital marketing campaigns</li>
<li> Plan, budget and execute campaigns, ensuring optimal use of resources</li>
<li> Create media plans and execute roll-out strategies</li>
<li> Conduct audience and keyword research for targeted campaigns</li>
<li> Collaborate with copywriters and designers for compelling content</li>
<li> Schedule and optimise ads for maximum impact</li>
<li> Provide interim and comprehensive campaign reports, analysing performance and making data-driven recommendations</li>
</ul>
<h4 class=""jobSectionHeader""><b> Paid ads expertise:</b></h4>
<div></div>
<ul>
<li> Manage paid ads across various platforms including LinkedIn, Google, Bing, X, Facebook, and Instagram</li>
<li> Manage budgets and resources effectively to maximise ROI</li>
</ul>
<h4 class=""jobSectionHeader""><b> Reporting:</b></h4>
<div></div>
<ul>
<li> Generate reports for all marketing and digital marketing activities</li>
<li> Analyse statistical data to glean useful information on trends and performance to facilitate continuous improvement</li>
<li> Generate quarterly marketing reports for the board, highlighting key metrics and insights</li>
<li> Proficiently use tools like Google Analytics, Google Tag Manager, Google Search Console, Excel, and Power BI for data analysis and reporting</li>
</ul>
<h4 class=""jobSectionHeader""><b> Website management and SEO:</b></h4>
<div></div>
<ul>
<li> Assist with website management, updates, and SEO optimisation</li>
<li> Implement changes and updates on the website</li>
<li> Proficiency in WordPress and SEO strategies required</li>
</ul>
<h4 class=""jobSectionHeader""><b> Other responsibilities:</b></h4>
<div></div>
<ul>
<li> Social media community management</li>
<li> Digital marketing budget and planning</li>
<li> Email marketing</li>
</ul>
<h3 class=""jobSectionHeader""><b> Qualifications and skills:</b></h3>
<div></div>
<ul>
<li> Degree or diploma in Marketing, Communications, or related field</li>
<li> Proven experience in digital marketing, including social media, email marketing and content creation with expertise in campaign management, paid ads, reporting, and website management</li>
<li> Certifications in digital marketing tools / platforms such as Google Digital marketing, SEO, Google Ads, Analytics, Facebook Blueprint</li>
<li> Proficiency in using digital marketing software and platforms such as Google Ads, LinkedIn ads, Microsoft advertising, X ads, Meta ads, Google Analytics, Google Tag Manager, Google Search Console, Excel, WordPress</li>
<li> Ability to manage multiple projects and meet deadlines</li>
<li> Strong organisational, analytical and problem-solving skills</li>
<li> Excellent communication skills</li>
<li> Strong teamwork and collaboration skills</li>
<li> Results-oriented with a focus on driving business growth</li>
</ul>
</div>
<p></p></div>",https://za.indeed.com/rc/clk?jk=f881dfe22d15a5cc&bb=OOdsvWvtGQPQWW6IbrJbVFBKSByXwCAjYNxGKIeP1wrNBeI5bDwxzknaOCSED2zoGnAo66fIiBAxZN6vV9l71kh-jcd8NlVGzGQ4dln9TYU%3D&xkcb=SoDH67M3FA_Izzyndp0BbzkdCdPP&fccid=5b7bbe5fb14b5ddd&vjs=3
Agents Sales Consultant – Luxury Safari Company – Cape Town,HOSPITALITY JOBS AFRICA,"Cape Town, Western Cape",R23 000 - R35 000 a month,-Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><b>Responsibilities:</b>
<br/> Act as the primary point of contact for travel agents and tour operators 
<br/>
<br/> Develop and maintain relationships with clients and partners 
<br/>
<br/> Provide exceptional customer service and support throughout the sales process 
<br/>
<br/> Respond to inquiries and provide information about our products and services 
<br/>
<br/> Create customized itineraries based on clients’ interests and preferences 
<br/>
<br/> Ensure all bookings are processed accurately and efficiently 
<br/>
<br/> Meet or exceed sales targets and goals 
<br/>
<br/> Intermediate to Senior level of experience in sales, preferably in the travel industry 
<br/>
<br/> Strong interpersonal and communication skills 
<br/>
<br/> Exceptional customer service skills 
<br/>
<br/> Proven ability to build and maintain relationships with clients and partners 
<br/>
<br/> Strong attention to detail and organizational skills 
<br/>
<br/> Ability to work independently and as part of a team 
<br/>
<br/> Proficient in Microsoft Office and CRM systems 
<br/>
<br/> Knowledge of the safari industry is a plus 
<br/>
<br/> Our client offers a competitive salary, benefits package, and a dynamic work environment where you can grow your career and make a positive impact in their business. If you are a motivated and passionate sales professional with a strong track record of success, we encourage you to apply for this exciting opportunity. 
<br/>
<br/> Between 1 - 3 Years</div>",https://za.indeed.com/rc/clk?jk=8944aef008da4c86&bb=OOdsvWvtGQPQWW6IbrJbVPr7nzxwucYeAoTdigoMvqowCRAV-LdFFa_QfzZ4FWB3PrcPtW93_roM_uO8CDaQKCTqqWot46D_jnsBqZMmGmU%3D&xkcb=SoBz67M3FA_Izzyndp0AbzkdCdPP&fccid=47c8e42bc369fd2c&vjs=3
Pest Control Technician - Cape Town,Ecowize,"Century City, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<p>Ecowize Pest Control and Hygiene Division is looking for a experienced and certified Pest Control Technician.</p>
<p> The purpose of this role is to determine the best treatment regarding pest control and ensure the highest quality of service is delivered to the customer.</p>
<p> The Pest Control Technician must ensure that all services are planned and completed in line with the customer agreements signed. Be accountable and responsible for equipment and consumables used to complete the services.</p>
<ul>
<li>You will be responsible for inspecting buildings and the surrounding property for signs of insects, rodents and other pests.</li>
<li>Then determine which treatment is best and use the proper baits or traps to remove them.</li>
<li>Spray chemical solutions, powders, and gases on or near surfaces of a building or house to eliminate pests.</li>
<li>Identify invading pests, including rats, termites, snakes, wasps, ants, spiders, mosquitos, or bed bugs.</li>
<li>Set mechanical traps and place bait. Remove dead rodents after extermination.</li>
</ul>
</div>
<p></p>
<br/>
<div>
<ul>
<li>Grade 12.</li>
<li>P-Registration with Department of Agriculture.</li>
<li>Pest Control Operator experience essential.</li>
<li>Able to work flexible hours and overtime.</li>
<li>Must have a valid driver’s license and be willing to travel.</li>
</ul>
<p><b>The successful incumbent must have the following skillsets:</b></p>
<ul>
<li>Good understanding and knowledge of the Pest Control Industry and service orientated.</li>
<li>Logical thinker as well as strategic and organized.</li>
<li>Ability to solve problems efficiently and to be pro-active in identifying potential problems.</li>
<li>Attention to detail.</li>
<li>Customer-centric.</li>
</ul>
<p>When applying for jobs, ensure that you have the minimum job requirements.</p>
<p> If you are not residing in the mentioned location, note that relocation will be required if successful.<br/> <br/> The Company is committed to complying with legislation and to meet strategic goals regarding to employment equity.<br/> <br/> Your privacy is important to us. By submitting your personal information, you agree that this information will be handled in accordance with the Protection of Personal Information Act (4 of 2013). <b>The closing date for internal applications is 16 January 2024</b>. Remember to inform your direct line manager should you be interested in this opportunity and apply on our job portal directly.</p>
<p><b> NOTE: If you have not received a response from us within 14-days of the closing date, kindly consider your application as unsuccessful.</b></p>
</div></div>",https://za.indeed.com/rc/clk?jk=8bc4daedd88a2b0d&bb=OOdsvWvtGQPQWW6IbrJbVBO3TrVA665g7i4j3mt8F611tnCBFtBplaS0JyDilbBma9FmBETWLNoNPrqfpIDSb9ykklgZDUGNc0uBcz3ZOUk%3D&xkcb=SoD967M3FA_Izzyndp0HbzkdCdPP&fccid=5b24f602ef829100&vjs=3
Medical Aid Administrator,CA Financial Appointments,"Southern Suburbs, Western Cape",,"Permanent, Full-time","<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<p>My client in the Financial Advisory space is looking for a specialist in Medical Aid Administration. The person needs to have worked for a financial advisors office or similar in order to qualify for this role. If this you, apply today!</p>
<p> Responsibilities:</p>
<div>
<ul>
<li>Help advise clients on Plan types and choices mostly Discovery Medical Aid</li>
<li>Submissions of health applications and Gap applications (mostly Discovery)</li>
<li>Removing of dependants from a scheme onto their own scheme</li>
<li>Adding dependants onto existing schemes</li>
<li>Answering vitality queries and doing activations (training can be given)</li>
<li>Assisting with Wellness days</li>
<li>Doing H4M and discovery health presentations at year end and to secure a new scheme</li>
<li>Dealing with travel cover and implementation thereof</li>
</ul>
</div>
<div>
<p>Requirements:</p>
<ul>
<li> Knowledge of Discovery Medical Aid</li>
<li>RE5 / RE1 (advantageous)</li>
<li>Matric essential</li>
<li>MS Office</li>
</ul>
<p> Please note that if you have not heard from us within 2 weeks of your application, please consider it as unsuccessful for this particular role. Please do though continue to follow us online and apply for suitable opportunities.</p>
</div>
</div></div>",https://za.indeed.com/rc/clk?jk=b88e040561654002&bb=OOdsvWvtGQPQWW6IbrJbVA_7M7GReCa6nMr-podt2i1eQydQBcnR_k1cx8_vuwPIauRi00Vr5N7adj42BwsC4RjvPD3y6yBIFTnoi-QkeV0%3D&xkcb=SoBJ67M3FA_Izzyndp0GbzkdCdPP&fccid=f024b5184b4561b2&vjs=3
Transport Manager,SA Metal Group (Pty) Ltd,"Cape Town, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div></div>
<div>
<div>
<div>
<div>
<h5 class=""jobSectionHeader""><b>Job Title</b></h5>
<p><br/> <br/> Transport Manager<br/> </p>
</div>
<div>
<h5 class=""jobSectionHeader""><b> Employment Type</b></h5>
<p><br/> <br/> Full Time<br/> </p>
</div>
<div>
<h5 class=""jobSectionHeader""><b> Experience</b></h5>
<p><br/> <br/> 5 to 8 years<br/> </p>
</div>
<div>
<h5 class=""jobSectionHeader""><b> Salary</b></h5>
<p><br/> <br/> Negotiable<br/> </p>
</div>
<div>
<h5 class=""jobSectionHeader""><b> Job Published</b></h5>
<p><br/> <br/> 09 January 2024<br/> </p>
</div>
<div>
<h5 class=""jobSectionHeader""><b> Job Reference No.</b></h5>
<p><br/> <br/> 1484674569</p>
</div>
</div>
</div>
<div>
<div>
<div>
<br/>
</div>
<div>
<h1 class=""jobSectionHeader""><b>Job Description</b></h1>
<p> </p>
<div>
<p>The Waste Control Division currently has a vacancy for a motivated, professional and organized Transport Manager to join their team. The Transport Manager’s primary purpose is to oversee the logistics of the Waste Control operations to ensure smooth operation and that the requirements of the Waste Control clients are met.</p>
<p><b> HE/SHE WILL ALSO BE REQUIRED TO: </b></p>
<ul>
<li>Manage the day to day transport service requirements</li>
<li> Effective Management of the Transport Controller`s Team</li>
<li> Accurate daily planning and effective usage of resources</li>
<li> Implement cost reduction strategies</li>
<li> Continuously identifying areas within the Transport department in which the business can improve and implementing such improvement</li>
<li> Liaise with Human Resources department in respect of any staff related issues that do arise</li>
<li> Provide “on the job” training and guidance when necessary to new starters</li>
<li> Manage the correct application of vehicles to jobs</li>
<li> Ensure highest possible customer service levels</li>
<li> Ensure that the fleet is in a roadworthy condition and conforms to Company policy in terms of branding and cleanliness</li>
<li> Ensure legal compliance at all times</li>
</ul>
<p><b> QUALIFYING CRITERIA</b></p>
<ul>
<li> Grade 12 or equivalent</li>
<li> Previous Transport Management experience will be an added advantage</li>
<li> Transport Management or studying towards a similar qualification will be an added advantage</li>
<li> Proven Leadership ability – must be able to lead by example.</li>
<li> Basic Computer skills (MS Word, MS Excel and Microsoft Office)</li>
<li> Working knowledge of vehicle tracking and transport systems</li>
</ul>
<p><b> QUALIFYING ATTRIBUTES</b></p>
<ul>
<li> Self-motivated, accurate, goal orientated and attention to detail.</li>
<li> Able to analyse and implement verbal instructions.</li>
<li> Ability to multi-task and manage demanding workload in a pressurised environment.</li>
<li> Ability to work independently and within a team.</li>
<li> Ability to meet deadlines and deliver results (time management).</li>
<li> Excellent communication, telephone &amp; organizational skills</li>
<li> Ability work independently and within a team</li>
<li> Great customer skills</li>
</ul>
</div>
</div>
<p></p>
<div>
<div>
<h1 class=""jobSectionHeader""><b><br/> Skills</b></h1>
<p> </p>
<div>
      LeadershipManagementMultitaskingTransportation
     </div>
</div>
<div>
<h1 class=""jobSectionHeader""><b> Industries</b></h1>
<p> </p>
<div>
      LogisticsTransportWaste Management
     </div>
</div>
</div>
</div>
</div>
</div>
<div></div></div>",https://za.indeed.com/rc/clk?jk=3e438435c4e2349a&bb=jewkX3L6nQcligOB5seYRz2xE6PFU_PDXF9rUT5kCqQBmN0ipUeKgTR83pCojnsSzVtjCWjmLEWtG_FWz6sMVIXBtYbv-oKnm_rv9pc5ruw%3D&xkcb=SoBK67M3FA_GsHySxR0ZbzkdCdPP&fccid=10dd688045bf0d2e&vjs=3
Office Administrator/Receptionist,XM Radio,"Cape Town, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<div>
<div>
<b>Office Administrator/Receptionist – Cape Town</b>
</div>
<div></div>
<div>
<b><br/> The Role:</b>
</div>
<div>
    This is a fantastic opportunity for an energetic and driven Office Administrator/Receptionist to work as part of a dynamic and vibrant team. The successful candidate should have excellent administration skills to take the reins and handle this area of the operation.
  </div>
</div>
<div></div>
<div>
<div>
<h3 class=""jobSectionHeader""><b><br/> The main responsibilities of the position include:</b></h3>
<ul>
<ul>
<li> Coordinate and execute office management activities.</li>
<li> Welcome guests and arrange amenities and refreshments as needed.</li>
<li> Answer all incoming calls, handle phone inquiries when possible, and route calls as appropriate.</li>
<li> Monitor all incoming and outgoing communication and distribute them to the appropriate receivers. </li>
<li>Deal with delivery queries and arrange collections.</li>
<li> Maintain an organised general filing system with all correspondence.</li>
<li> Keep a registry of all company contacts.</li>
<li> Provide word-processing and secretarial support. </li>
<li>Assist in the preparation of meetings, conferences, and various company events.</li>
<li> Manage the internal and external travel itineraries, including the issuing of visitor visas, flight bookings, transportation, and accommodation.</li>
<li> Order and maintain an adequate inventory of office supplies.</li>
<li> Provide administrative support to management and other departments. </li>
<li>Perform any other related duties as required.</li>
</ul>
</ul>
</div>
</div>
<div>
<div>
<h3 class=""jobSectionHeader""><b> Main requirements:</b></h3>
<ul>
<ul>
<li> A college or university degree in Office Administration or any other related field. </li>
<li>At least 2 years of experience in a similar role.</li>
<li> Outstanding communication and interpersonal skills.</li>
<li> Responsible and professional in respect to appearance, behaviour, and conduct.</li>
<li> Organised and methodical, with a high attention to detail. </li>
<li>Ability to maintain confidentiality in all situations.</li>
<li> Excellent written and oral skills in English. </li>
<li>Excellent working knowledge of Microsoft Office tools.</li>
</ul>
</ul>
</div>
</div>
<div>
<div>
<h3 class=""jobSectionHeader""><b> Benefit from:</b></h3>
<ul>
<ul>
<li> Attractive remuneration package plus performance related reward </li>
<li>Intellectually stimulating work environment</li>
<li> Continuous personal development and international training opportunities</li>
</ul>
</ul>
</div>
</div>
<div></div>
<div>
<div>
<b><br/> All applications will be treated with strict confidentiality!</b>
</div>
</div>
</div>
<p></p></div>",https://za.indeed.com/rc/clk?jk=9b3720c70f16393e&bb=jewkX3L6nQcligOB5seYR21AQn0nSTJ_3gu4FOKY6X1ZE3nirLdyrusz6IWIRV-grVnKj0xyilI-eCR8Tfs1Kz0VuBfAOosFznbS4xHs2RI%3D&xkcb=SoD-67M3FA_GsHySxR0YbzkdCdPP&fccid=2bdda8d5a6606e59&vjs=3
Pest Control Technician - Cape Town,Ecowize,"Century City, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<p>Ecowize Pest Control and Hygiene Division is looking for a experienced and certified Pest Control Technician.</p>
<p> The purpose of this role is to determine the best treatment regarding pest control and ensure the highest quality of service is delivered to the customer.</p>
<p> The Pest Control Technician must ensure that all services are planned and completed in line with the customer agreements signed. Be accountable and responsible for equipment and consumables used to complete the services.</p>
<ul>
<li>You will be responsible for inspecting buildings and the surrounding property for signs of insects, rodents and other pests.</li>
<li>Then determine which treatment is best and use the proper baits or traps to remove them.</li>
<li>Spray chemical solutions, powders, and gases on or near surfaces of a building or house to eliminate pests.</li>
<li>Identify invading pests, including rats, termites, snakes, wasps, ants, spiders, mosquitos, or bed bugs.</li>
<li>Set mechanical traps and place bait. Remove dead rodents after extermination.</li>
</ul>
</div>
<p></p>
<br/>
<div>
<ul>
<li>Grade 12.</li>
<li>P-Registration with Department of Agriculture.</li>
<li>Pest Control Operator experience essential.</li>
<li>Able to work flexible hours and overtime.</li>
<li>Must have a valid driver’s license and be willing to travel.</li>
</ul>
<p><b>The successful incumbent must have the following skillsets:</b></p>
<ul>
<li>Good understanding and knowledge of the Pest Control Industry and service orientated.</li>
<li>Logical thinker as well as strategic and organized.</li>
<li>Ability to solve problems efficiently and to be pro-active in identifying potential problems.</li>
<li>Attention to detail.</li>
<li>Customer-centric.</li>
</ul>
<p>When applying for jobs, ensure that you have the minimum job requirements.</p>
<p> If you are not residing in the mentioned location, note that relocation will be required if successful.<br/> <br/> The Company is committed to complying with legislation and to meet strategic goals regarding to employment equity.<br/> <br/> Your privacy is important to us. By submitting your personal information, you agree that this information will be handled in accordance with the Protection of Personal Information Act (4 of 2013). <b>The closing date for internal applications is 16 January 2024</b>. Remember to inform your direct line manager should you be interested in this opportunity and apply on our job portal directly.</p>
<p><b> NOTE: If you have not received a response from us within 14-days of the closing date, kindly consider your application as unsuccessful.</b></p>
</div></div>",https://za.indeed.com/rc/clk?jk=8bc4daedd88a2b0d&bb=jewkX3L6nQcligOB5seYR7ow5CliVl_XEjzcVfHu6HknIokOLd5Q9EGsTLziuq0P3vDXL0YrzrTvN4mf9GrP_mTqsHdhGGGSutBw9w6ghTI%3D&xkcb=SoBw67M3FA_GsHySxR0fbzkdCdPP&fccid=5b24f602ef829100&vjs=3
Agents Sales Consultant – Luxury Safari Company – Cape Town,HOSPITALITY JOBS AFRICA,"Cape Town, Western Cape",R23 000 - R35 000 a month,-Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><b>Responsibilities:</b>
<br/> Act as the primary point of contact for travel agents and tour operators 
<br/>
<br/> Develop and maintain relationships with clients and partners 
<br/>
<br/> Provide exceptional customer service and support throughout the sales process 
<br/>
<br/> Respond to inquiries and provide information about our products and services 
<br/>
<br/> Create customized itineraries based on clients’ interests and preferences 
<br/>
<br/> Ensure all bookings are processed accurately and efficiently 
<br/>
<br/> Meet or exceed sales targets and goals 
<br/>
<br/> Intermediate to Senior level of experience in sales, preferably in the travel industry 
<br/>
<br/> Strong interpersonal and communication skills 
<br/>
<br/> Exceptional customer service skills 
<br/>
<br/> Proven ability to build and maintain relationships with clients and partners 
<br/>
<br/> Strong attention to detail and organizational skills 
<br/>
<br/> Ability to work independently and as part of a team 
<br/>
<br/> Proficient in Microsoft Office and CRM systems 
<br/>
<br/> Knowledge of the safari industry is a plus 
<br/>
<br/> Our client offers a competitive salary, benefits package, and a dynamic work environment where you can grow your career and make a positive impact in their business. If you are a motivated and passionate sales professional with a strong track record of success, we encourage you to apply for this exciting opportunity. 
<br/>
<br/> Between 1 - 3 Years</div>",https://za.indeed.com/rc/clk?jk=8944aef008da4c86&bb=jewkX3L6nQcligOB5seYRwbVLZ_2gKsYzMe4UvqZ4nnPYolErsezrzIxfe7CJNmxP5lsagmRhXe2wg15SonbIoGT19KkKlYf_fiiAQKZSS4%3D&xkcb=SoDE67M3FA_GsHySxR0ebzkdCdPP&fccid=47c8e42bc369fd2c&vjs=3
Receptionist,Helderberg Personnel,"Epping, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
 Well established insulation specialist based in Epping has a vacancy for a receptionist with excellent English and Afrikaans communication skills
 <div>
   receptionist
 </div>
</div>
<br/>
<div>
 Responsibilities:
 <br/>
<ul>
<li>Answering the switchboard</li>
<li>Assisting clients with queries</li>
<li>Taking messages and transferring calls</li>
</ul>
<br/> Requirements:
 <br/>
<ul>
<li>Fully bilingual (Afrikaans and English)</li>
<li>Punctual and Reliable</li>
<li>Excellent communication skills</li>
<li>Matric</li>
<li>Own reliable transport</li>
</ul>
</div></div>",https://za.indeed.com/rc/clk?jk=04e195a7f10daf2b&bb=jewkX3L6nQcligOB5seYR0vL3PLTgJuDpVGKjE3bMtdZga0WkYRSS1aCx7fC_3QbGs5DR6MmmcpbijAj4I_ENKiucWNpyHRn6xWb9wyaib8%3D&xkcb=SoBZ67M3FA_GsHySxR0dbzkdCdPP&fccid=3cda4f6fbd9a828e&vjs=3
